Numero,Orden,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
132,Fabales,Fabaceae,Platymiscium,pinnatum,Platymiscium pinnatum,Platymiscium pinnatum,bisexual,bisexual,,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
133,Fabales,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,one to five (1-5),free (<5%),actinomorphic,,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,whorled,,,,present,glandular,
134,Fabales,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,six to ten (6-10),free (<5%),actinomorphic,,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,whorled,,,,present,glandular,
135,Fabales,Fabaceae,Pterocarpus,rohrii,Pterocarpus rohrii,Pterocarpus rohrii,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
136,Fabales,Fabaceae,Swartzia,guatemalensis,Swartzia guatemalensis,Swartzia guatemalensis,bisexual,bisexual,inferior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),trimerous,differentiated,0,3,1,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
137,Fagales,Fagaceae,Quercus,acutifolia,Quercus acutifolia,Quercus acutifolia,unisexual,unisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
138,Fagales,Fagaceae,Quercus,acutifolia,Quercus acutifolia,Quercus acutifolia,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
139,Fagales,Fagaceae,Quercus,oleoides,Quercus oleoides,Quercus oleoides,unisexual,unisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
140,Fagales,Fagaceae,Quercus,oleoides,Quercus oleoides,Quercus oleoides,unisexual,unisexual,N/A,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),tetramerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
141,Fagales,Fagaceae,Quercus,skinneri,Quercus skinneri,Quercus skinneri,unisexual,unisexual,inferior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),two (2),absent,N/A,N/A
